Name: 4, Condition: 3, Run: 33, Date: 10/10/2019 2:42:12 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
3.169997,-2.051307,1.560572,-1.962941,2.422731,2.607328
3.179997,-2.051307,2.427,1.502771,2.437759,2.631705
3.189997,-2.2525,3.283599,4.124393,2.479003,2.656495
3.199997,-2.2525,4.114563,7.448249,2.553485,2.68203
3.209997,-2.600632,4.904337,9.214822,2.645633,2.708487
3.219997,-2.964588,5.637901,10.69325,2.752566,2.736012
3.229997,-2.964588,6.301106,13.34607,2.886027,2.764873
3.239997,-3.337586,6.880836,14.173,3.027757,2.79515
3.249997,-3.337586,7.365318,16.11093,3.188866,2.827039
3.259997,-3.509391,7.744331,16.93976,3.358264,2.860621
3.269997,-3.815702,8.0094,16.77479,3.526012,2.895882
3.279997,-3.815702,8.153952,17.353,3.699542,2.932877
3.289997,-4.012374,8.173456,16.64433,3.865985,2.971537
3.299997,-4.012374,8.065507,16.21253,4.028111,3.011818
3.309997,-4.063238,7.829885,15.06659,4.178776,3.053606
3.319997,-4.085844,7.468566,13.53089,4.314085,3.096747
3.329997,-4.085844,6.985709,11.59946,4.430079,3.141047
3.339997,-4.085844,6.387576,9.206928,4.522149,3.186269
3.349997,-4.085844,5.682446,6.38641,4.586013,3.232129
3.359997,-4.085844,4.88049,3.178587,4.617799,3.278307
3.369997,-4.085844,3.993529,-0.3692589,4.614106,3.324448
3.379997,-4.085844,3.034935,-4.203635,4.57207,3.370169
3.389997,-4.085844,2.019334,-8.266037,4.489409,3.415063
3.399997,-4.085844,0.9623758,-12.49387,4.364471,3.458708
3.409997,-4.085844,-0.1195414,-16.82154,4.196256,3.50067
3.419997,-4.086974,-1.209554,-21.18611,3.984395,3.540514
3.429997,-4.086974,-2.290625,-25.5104,3.729291,3.577807
3.439997,-4.091495,-3.345839,-29.74933,3.431798,3.612125
3.449997,-4.091495,-4.358696,-33.80077,3.09379,3.643063
3.459997,-4.11071,-5.3134,-37.69644,2.716825,3.670231
3.469997,-4.119752,-6.195127,-41.25952,2.30423,3.693274
3.479997,-4.119752,-6.990283,-44.44014,1.859829,3.711872
3.489997,-4.119752,-7.686744,-47.22598,1.387569,3.725748
3.499997,-4.119752,-8.274038,-49.57516,0.8918175,3.734666
3.509997,-4.119752,-8.74358,-51.45333,0.3772841,3.738439
