Name: 3, Condition: 1, Run: 4, Date: 10/9/2019 4:15:52 PM, Testing: False
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
1.559999,0,3.721879,14.88752,9.885715,-1.486213
1.569999,0,2.710935,10.84374,9.994152,-1.386271
1.579999,0,1.691466,6.765863,10.06181,-1.285653
1.589999,0,0.6796483,2.718593,10.089,-1.184763
1.599999,0,-0.3087251,-1.2349,10.07665,-1.083997
1.609999,0,-1.258458,-5.033832,10.02631,-0.983734
1.619999,0,-2.155256,-8.621023,9.940099,-0.884333
1.629999,0,-2.985975,-11.9439,9.82066,-0.7861264
1.639999,0,-3.738843,-14.95537,9.671106,-0.6894153
1.649999,0,-4.403668,-17.61467,9.49496,-0.5944657
1.659999,0,-4.972002,-19.88801,9.29608,-0.501505
1.669999,0,-5.437296,-21.74919,9.078588,-0.4107191
1.679999,0,-5.794979,-23.17991,8.846788,-0.3222512
1.689999,0,-6.042545,-24.17018,8.605086,-0.2362003
1.699999,0,-6.179574,-24.7183,8.357903,-0.1526213
1.709999,0,-6.207723,-24.83089,8.109594,-0.07152536
1.719999,0,-6.130669,-24.52268,7.864367,0.007118315
1.729999,0,-5.954041,-23.81616,7.626206,0.08338037
1.739999,0,-5.685264,-22.74105,7.398796,0.1573683
1.749999,0,-5.333437,-21.33375,7.185458,0.2292229
1.759999,0,-4.909131,-19.63652,6.989093,0.2991138
1.769999,0,-4.424177,-17.69671,6.812126,0.3672351
1.779999,0,-3.891427,-15.56571,6.656468,0.4337998
1.789999,0,-3.324501,-13.298,6.523489,0.4990346
1.799999,0,-2.737531,-10.95012,6.413987,0.5631745
1.809999,0,-2.144836,-8.579344,6.328194,0.6264564
1.819999,0,-1.560709,-6.242838,6.265765,0.6891141
1.829999,0,-0.9990984,-3.996394,6.225801,0.7513721
1.839999,0,-0.4733375,-1.89335,6.206868,0.8134408
1.849999,0,0.004108767,0.01643507,6.207033,0.8755111
1.859999,0,0.4218848,1.687539,6.223908,0.9377502
1.869999,0,0.769967,3.079868,6.254707,1.000297
1.879999,0,1.03988,4.159521,6.296302,1.06326
1.889999,0,1.224821,4.899284,6.345294,1.126713
1.899999,0,1.319827,5.279306,6.398088,1.190694
1.909999,0,1.321863,5.287451,6.450962,1.255204
1.919999,0,1.229882,4.919529,6.500157,1.320205
1.929999,0,1.044858,4.179431,6.541952,1.385625
1.939999,0,0.7697648,3.079059,6.572742,1.451352
1.949998,0,0.4095129,1.638052,6.589123,1.517244
1.959998,0,-0.02911569,-0.1164628,6.587958,1.583123
1.969998,0,-0.5376108,-2.150443,6.566454,1.648788
1.979998,0,-1.105889,-4.423557,6.522218,1.71401
1.989998,0,-1.722482,-6.889928,6.453319,1.778543
1.999998,0,-2.37475,-9.498999,6.358329,1.842126
2.009999,0,-3.049122,-12.19649,6.236364,1.90449
2.019999,0,-3.731366,-14.92546,6.08711,1.965361
2.029999,0,-4.406835,-17.62734,5.910836,2.024469
2.039999,0,-5.060766,-20.24306,5.708405,2.081553
2.049999,0,-5.678555,-22.71422,5.481263,2.136366
2.059999,0,-6.246041,-24.98416,5.231421,2.18868
2.069999,0,-6.749773,-26.99909,4.961431,2.238295
2.079998,0,-7.177303,-28.70921,4.674338,2.285038
2.089998,0,-7.51738,-30.06952,4.373643,2.328774
2.099998,0,-7.76021,-31.04084,4.063234,2.369407
2.109998,0,-7.897639,-31.59056,3.747329,2.40688
2.119998,0,-7.923331,-31.69332,3.430396,2.441184
2.129998,0,-7.832892,-31.33157,3.11708,2.472355
2.139998,-0.1354521,-7.623978,-31.03772,2.806703,2.500422
2.149998,-0.1354521,-7.296359,-29.72725,2.50943,2.525516
2.159998,-0.3072575,-6.851918,-28.6367,2.223063,2.547747
2.169998,-0.3072575,-6.294677,-26.40774,1.958986,2.567337
2.179998,-0.5604443,-5.63071,-24.76462,1.71134,2.58445
2.189998,-0.840758,-4.86807,-22.83531,1.482987,2.59928
2.199998,-0.840758,-4.016648,-19.42962,1.28869,2.612167
2.209998,-1.083772,-3.088026,-16.68719,1.121819,2.623385
2.219998,-1.083772,-2.095246,-12.71607,0.9946578,2.633332
2.229998,-1.223929,-1.052638,-9.106266,0.9035951,2.642368
2.239998,-1.454509,0.02445536,-5.720217,0.846393,2.650831
2.249998,-1.454509,1.119935,-1.338296,0.83301,2.659162
2.259998,-1.68283,2.217232,2.137607,0.8543861,2.667706
2.269998,-1.68283,3.299587,6.467028,0.9190564,2.676896
2.279998,-1.79812,4.350339,10.20888,1.021145,2.687108
2.289998,-2.011747,5.353265,13.36607,1.154806,2.698656
2.299998,-2.011747,6.292783,17.12415,1.326047,2.711916
2.309998,-2.218591,7.154292,19.7428,1.523475,2.727151
2.319998,-2.218591,7.924407,22.82326,1.751708,2.744668
2.329998,-2.315797,8.591195,25.10159,2.002724,2.764695
2.339998,-2.495514,9.144393,26.59552,2.268679,2.787382
2.349998,-2.495514,9.575583,28.32027,2.551882,2.812901
2.359998,-2.685404,9.878345,28.77176,2.839599,2.841296
2.369998,-2.685404,10.04837,29.45186,3.134118,2.872638
2.379998,-2.871904,10.08353,28.84652,3.422583,2.906863
2.389998,-2.952155,9.983941,28.12715,3.703854,2.943902
2.399998,-2.952155,9.751915,27.19904,3.975845,2.98366
2.409998,-3.113787,9.391955,25.11267,4.226971,3.02593
2.419998,-3.113787,8.910668,23.18753,4.458847,3.070519
2.429998,-3.241511,8.31664,20.30052,4.661852,3.117137
2.439998,-3.302547,7.620286,17.27095,4.834561,3.165483
2.449998,-3.302547,6.833663,14.12446,4.975806,3.215241
