Name: 0-1, Condition: 2, Run: 2, Date: 10/7/2019 9:36:42 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
1.649999,-3.099093,-4.403668,-30.01105,-5.577753,-6.892227
1.659999,-3.249423,-4.972002,-32.8857,-5.90661,-6.951293
1.669999,-3.509391,-5.437296,-35.78675,-6.264477,-7.013938
1.679999,-3.509391,-5.794979,-37.21748,-6.636652,-7.080305
1.689999,-3.682327,-6.042545,-38.89949,-7.025647,-7.150561
1.699999,-3.682327,-6.179574,-39.44761,-7.420123,-7.224762
1.709999,-4.131055,-6.207723,-41.35511,-7.833674,-7.303099
1.719999,-4.696204,-6.130669,-43.3075,-8.266748,-7.385767
1.729999,-4.696204,-5.954041,-42.60098,-8.692759,-7.472694
1.739999,-5.293002,-5.685264,-43.91306,-9.131889,-7.564013
1.749999,-5.293002,-5.333437,-42.50575,-9.556947,-7.659583
1.759999,-5.617397,-4.909131,-42.10611,-9.978008,-7.759363
1.769999,-6.204021,-4.424177,-42.51279,-10.40314,-7.863394
1.779999,-6.204021,-3.891427,-40.38179,-10.80695,-7.971464
1.789999,-6.645968,-3.324501,-39.88187,-11.20577,-8.083522
1.799999,-6.645968,-2.737531,-37.534,-11.58111,-8.199333
1.809999,-6.761259,-2.144836,-35.62438,-11.93736,-8.318707
1.819999,-6.789515,-1.560709,-33.4009,-12.27137,-8.441421
1.829999,-6.789515,-0.9990984,-31.15446,-12.58291,-8.567249
1.839999,-6.760128,-0.4733375,-28.93386,-12.87225,-8.695971
1.849999,-6.760128,0.004108767,-27.02408,-13.14249,-8.827396
1.859999,-6.708134,0.4218848,-25.145,-13.39394,-8.961336
1.869999,-6.643707,0.769967,-23.49496,-13.62889,-9.097625
1.879999,-6.643707,1.03988,-22.41531,-13.85304,-9.236156
1.889999,-6.643707,1.224821,-21.67554,-14.0698,-9.376854
1.899999,-6.643707,1.319827,-21.29552,-14.28275,-9.519682
1.909999,-6.643707,1.321863,-21.28738,-14.49563,-9.664639
1.919999,-6.643707,1.229882,-21.6553,-14.71218,-9.81176
1.929999,-6.643707,1.044858,-22.3954,-14.93613,-9.961122
1.939999,-6.643707,0.7697648,-23.49577,-15.17109,-10.11283
1.949998,-6.643707,0.4095129,-24.93678,-15.42046,-10.26704
1.959998,-6.643707,-0.02911569,-26.69129,-15.68737,-10.42391
1.969998,-6.643707,-0.5376108,-28.72527,-15.97462,-10.58366
1.979998,-6.643707,-1.105889,-30.99838,-16.28461,-10.7465
1.989998,-6.643707,-1.722482,-33.46476,-16.61926,-10.91269
1.999998,-6.643707,-2.37475,-36.07383,-16.98,-11.08249
2.009999,-6.643707,-3.049122,-38.77132,-17.36771,-11.25617
2.019999,-6.665184,-3.731366,-41.5862,-17.78357,-11.43401
2.029999,-6.665184,-4.406835,-44.28807,-18.22645,-11.61627
2.039999,-6.707004,-5.060766,-47.07108,-18.69716,-11.80324
2.049999,-6.707004,-5.678555,-49.54224,-19.19258,-11.99517
2.059999,-6.758998,-6.246041,-52.02016,-19.71278,-12.1923
2.069999,-6.758998,-6.749773,-54.03508,-20.25313,-12.39483
2.079998,-6.80647,-7.177303,-55.93509,-20.81248,-12.60295
2.089998,-6.970364,-7.51738,-57.95097,-21.39199,-12.81687
2.099998,-6.970364,-7.76021,-58.92229,-21.98122,-13.03669
2.109998,-7.291368,-7.897639,-60.75603,-22.58878,-13.26257
2.119998,-7.291368,-7.923331,-60.8588,-23.19737,-13.49455
2.129998,-7.4903,-7.832892,-61.29277,-23.8103,-13.73265
2.139998,-7.972938,-7.623978,-62.38766,-24.43417,-13.97699
2.149998,-7.972938,-7.296359,-61.07719,-25.04494,-14.22744
2.159998,-8.432969,-6.851918,-61.13955,-25.65634,-14.484
2.169998,-8.432969,-6.294677,-58.91058,-26.24544,-14.74646
2.179998,-8.828574,-5.63071,-57.83714,-26.82381,-15.0147
2.189998,-9.078369,-4.86807,-55.78576,-27.38167,-15.28851
2.199998,-9.078369,-4.016648,-52.38007,-27.90547,-15.56757
2.209998,-9.133754,-3.088026,-48.88712,-28.39434,-15.85151
2.219998,-9.133754,-2.095246,-44.916,-28.8435,-16.13995
2.229998,-9.138275,-1.052638,-40.76365,-29.25114,-16.43246
2.239998,-9.138275,0.02445536,-36.45528,-29.61569,-16.72862
2.249998,-9.138275,1.119935,-32.07336,-29.93643,-17.02798
2.259998,-8.960818,2.217232,-26.97435,-30.20617,-17.33004
2.269998,-8.960818,3.299587,-22.64492,-30.43262,-17.63437
2.279998,-8.767538,4.350339,-17.66879,-30.60931,-17.94046
2.289998,-7.972938,5.353265,-10.47869,-30.71409,-18.2476
2.299998,-7.972938,6.292783,-6.720619,-30.7813,-18.55542
2.309998,-6.372437,7.154292,3.127422,-30.75002,-18.86292
2.319998,-6.372437,7.924407,6.20788,-30.68795,-19.1698
2.329998,-5.316738,8.591195,13.09783,-30.55697,-19.47537
2.339998,-2.642453,9.144393,26.00776,-30.29689,-19.77834
