Name: Lorenzo, Condition: 2, Run: 11, Date: 10/8/2019 12:10:46 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
2.609998,0,-5.74346,-22.97384,-3.079728,2.789647
2.619998,0,-5.868084,-23.47234,-3.314451,2.756502
2.629998,0,-5.875865,-23.50346,-3.549486,2.721007
2.639998,0,-5.7695,-23.078,-3.780266,2.683205
2.649998,0,-5.55373,-22.21492,-4.002415,2.643181
2.659998,0,-5.23526,-20.94104,-4.211825,2.601062
2.669998,0,-4.822548,-19.29019,-4.404727,2.557015
2.679998,0,-4.325731,-17.30293,-4.577756,2.511237
2.689998,0,-3.756363,-15.02545,-4.728011,2.463957
2.699998,0,-3.127207,-12.50883,-4.853099,2.415426
2.709998,0,-2.451981,-9.807925,-4.951179,2.365915
2.719998,0,-1.7451,-6.980399,-5.020983,2.315705
2.729998,0,-1.021395,-4.085579,-5.061839,2.265086
2.739998,0,-0.2958341,-1.183336,-5.073672,2.21435
2.749998,0,0.4167638,1.667055,-5.057001,2.16378
2.759998,0,1.102007,4.408029,-5.012921,2.113651
2.769998,0,1.746206,6.984822,-4.943073,2.06422
2.779998,0,2.336623,9.346494,-4.849608,2.015724
2.789998,0,2.861721,11.44688,-4.735139,1.968373
2.799998,0,3.311357,13.24543,-4.602684,1.922346
2.809998,0,3.677024,14.70809,-4.455604,1.87779
2.819998,0,3.951927,15.80771,-4.297526,1.834814
2.829998,0,4.131166,16.52466,-4.13228,1.793492
2.839998,0,4.211803,16.84721,-3.963808,1.753854
2.849998,0,4.192916,16.77166,-3.796091,1.715893
2.859998,0,4.075614,16.30246,-3.633066,1.679562
2.869998,0,3.863001,15.452,-3.478546,1.644776
2.879998,0,3.560119,14.24047,-3.336142,1.611415
2.889998,0,3.173846,12.69538,-3.209188,1.579323
2.899998,0,2.712757,10.85103,-3.100677,1.548316
2.909998,0,2.186956,8.747825,-3.013199,1.518184
2.919998,0,1.607884,6.431535,-2.948884,1.488696
2.929998,0,0.988086,3.952344,-2.909361,1.459602
2.939998,0,0.341002,1.364008,-2.89572,1.430645
2.949998,0,-0.3193975,-1.27759,-2.908496,1.40156
2.959998,0,-0.9787403,-3.914961,-2.947646,1.372083
2.969998,0,-1.622617,-6.490468,-3.012551,1.341958
2.979998,0,-2.236851,-8.947406,-3.102025,1.310938
2.989998,0,-2.807771,-11.23108,-3.214335,1.278794
2.999998,0,-3.322471,-13.28988,-3.347234,1.245322
3.009998,0,-3.769074,-15.0763,-3.497997,1.210342
3.019998,0,-4.136965,-16.54786,-3.663476,1.173707
3.029998,0,-4.416994,-17.66798,-3.840156,1.135306
3.039998,0,-4.601675,-18.4067,-4.024223,1.095063
3.049998,0,-4.685326,-18.7413,-4.211636,1.052947
3.059998,0,-4.664204,-18.65682,-4.398204,1.008965
3.069998,0,-4.536563,-18.14625,-4.579667,0.9631683
3.079998,0,-4.302737,-17.21095,-4.751777,0.9156505
3.089998,0,-3.965115,-15.86046,-4.910381,0.8665468
3.099998,0,-3.528133,-14.11253,-5.051507,0.8160317
