Name: Lorenzo, Condition: 2, Run: 12, Date: 10/7/2019 11:17:00 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
1.369999,0,6.000738,24.00295,2.550103,-1.072104
1.379999,0,6.874663,27.49865,2.82509,-1.043853
1.389999,0,7.668999,30.676,3.13185,-1.012534
1.399999,0,8.370727,33.48291,3.466679,-0.9778677
1.409999,0,8.968378,35.87351,3.825414,-0.9396136
1.419999,0,9.452228,37.80891,4.203503,-0.8975785
1.429999,0,9.814456,39.25782,4.596081,-0.8516178
1.439999,0,10.04928,40.19711,4.998053,-0.8016372
1.449999,0,10.15305,40.6122,5.404175,-0.7475955
1.459999,0,10.12432,40.49728,5.809148,-0.689504
1.469999,0,9.963851,39.8554,6.207702,-0.627427
1.479999,0,9.674593,38.69837,6.594686,-0.5614802
1.489999,0,9.261636,37.04654,6.965151,-0.4918287
1.499999,0,8.732102,34.92841,7.314435,-0.4186843
1.509999,0,8.095017,32.38007,7.638236,-0.3423019
1.519999,-0.2496121,7.361154,28.44617,7.922697,-0.263075
1.529999,-0.5084506,6.542787,24.13735,8.16407,-0.1814343
1.539999,-0.9198788,5.653537,18.93463,8.353416,-0.09790009
1.549999,-0.9198788,4.708077,15.15279,8.504945,-0.01285065
1.559999,-1.041951,3.721879,10.71971,8.612142,0.07327077
1.569999,-1.083772,2.710935,6.508651,8.677228,0.160043
1.579999,-1.083772,1.691466,2.430776,8.701536,0.2470584
1.589999,-1.083772,0.6796483,-1.616495,8.685371,0.3339121
1.599999,-1.073599,-0.3087251,-5.529298,8.630078,0.4202129
1.609999,-1.011433,-1.258458,-9.079563,8.539283,0.5056057
1.619999,-0.9583091,-2.155256,-12.45426,8.414741,0.5897531
1.629999,-0.8644942,-2.985975,-15.40187,8.260722,0.6723603
1.639999,-0.8011976,-3.738843,-18.16016,8.079121,0.7531515
1.649999,-0.8011976,-4.403668,-20.81946,7.870926,0.8318607
1.659999,-0.7559856,-4.972002,-22.91195,7.641807,0.9082788
1.669999,-0.7051224,-5.437296,-24.56968,7.39611,0.9822398
1.679999,-0.6486073,-5.794979,-25.77434,7.138367,1.053624
1.689999,-0.5932227,-6.042545,-26.54307,6.872936,1.122353
1.699999,-0.5400987,-6.179574,-26.87869,6.604149,1.188394
1.709999,-0.4892355,-6.207723,-26.78783,6.33627,1.251757
1.719999,-0.4270689,-6.130669,-26.23095,6.073961,1.312497
1.729999,-0.4044631,-5.954041,-25.43402,5.819621,1.370693
1.739999,-0.4044631,-5.685264,-24.35891,5.576032,1.426453
1.749999,-0.4044631,-5.333437,-22.9516,5.346516,1.479918
1.759999,-0.4067236,-4.909131,-21.26342,5.133882,1.531257
1.769999,-0.4067236,-4.424177,-19.3236,4.940646,1.580664
1.779999,-0.4067236,-3.891427,-17.1926,4.76872,1.628351
1.789999,-0.4067236,-3.324501,-14.9249,4.619471,1.674545
1.799999,-0.4067236,-2.737531,-12.57702,4.493701,1.719482
1.809999,-0.4067236,-2.144836,-10.20624,4.391638,1.763399
1.819999,-0.4067236,-1.560709,-7.869732,4.312941,1.806528
1.829999,-0.4067236,-0.9990984,-5.623288,4.256708,1.849095
1.839999,-0.4078539,-0.4733375,-3.524765,4.22146,1.89131
1.849999,-0.4078539,0.004108767,-1.61498,4.20531,1.933363
1.859999,-0.4180267,0.4218848,0.01543236,4.205465,1.975418
1.869999,-0.4214175,0.769967,1.394198,4.219407,2.017612
1.879999,-0.4293295,1.03988,2.442203,4.243829,2.06005
1.889999,-0.4361115,1.224821,3.154839,4.275377,2.102804
1.899999,-0.4417629,1.319827,3.512255,4.3105,2.145909
1.909999,-0.4428931,1.321863,3.515879,4.345658,2.189365
1.919999,-0.446284,1.229882,3.134393,4.377002,2.233135
1.929999,-0.446284,1.044858,2.394295,4.400945,2.277145
1.939999,-0.446284,0.7697648,1.293923,4.413885,2.321284
1.949998,-0.446284,0.4095129,-0.1470842,4.412414,2.365408
1.959998,-0.446284,-0.02911569,-1.901599,4.393398,2.409342
1.969998,-0.446284,-0.5376108,-3.935579,4.354042,2.452882
